21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec
42.35,42.35,42.35,42.35,42.35,42.35,62.28,75.12,101.22,42.35,85.66,61.03
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
76.31,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,66.66,78.4,151.03,149.3,126.12,119.13,130.28,158.74,172.63,241.32,53.06
62.81,42.35,42.35,42.35,42.35,42.35,46.8,51.17,50.51,71.81,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.67,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,66.67,42.35,65.66,72.1,80.31,93.22,69.79,61.81,42.35
135.48,135.4,187.71,176.63,184.89,193.65,185.76,188.77,191.7,280.01,236.56,187.25
42.35,42.35,42.35,108.94,128.28,137.65,130.79,163.86,254.97,219.44,160.16,89.41
42.35,42.35,42.35,75.08,102.55,97.3,111.38,142.02,153.73,127.22,131.65,88.8
42.35,42.35,42.35,42.35,42.35,65.97,86.48,112,122.11,156.08,48.85,85.89
42.35,42.35,42.35,42.35,42.35,87.4,100.95,129.03,195.11,122.49,128.26,42.35
42.35,42.35,42.35,89.48,107.02,124.08,116.36,128.71,164.01,95,77.75,42.35
42.35,42.35,42.35,42.35,42.35,83.95,97.34,113.1,89.99,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,44.76,54.61,82.42,70.62,48.46,42.35
87.97,131.29,161.85,169.5,89,127.59,175.06,214.45,213.75,225.63,236.56,216.65
81.54,42.35,42.35,42.35,42.35,42.35,49.57,85.42,65.92,42.54,42.35,42.35
42.35,42.35,42.35,42.35,65.46,68.47,96.87,113.24,122.49,76.27,125.23,115.45
42.35,42.35,42.35,42.35,42.35,42.35,65.4,81.45,54.77,59.1,47.12,52.85
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,45.48
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
202.22,141.07,139.11,139.56,95.12,106.95,166.91,124.4,112.4,75.92,65.69,42.35
60.43,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,46.8,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,51.01,60.71,42.35
42.35,42.35,42.35,42.35,42.35,42.35,77.8,63.39,69.56,45.74,75.68,112.93
89.27,83.59,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,43.99,42.35
157.74,57.15,42.35,96.47,42.35,42.35,47.38,46.76,42.35,42.35,42.35,42.35
91.05,42.35,42.35,42.35,42.35,42.35,54.51,93.4,74.88,65.29,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
77.68,57.61,42.35,92.02,51.73,42.35,67.11,75.62,85.74,42.35,42.35,42.35
179.71,189.23,236.47,185.3,167.5,140.36,119,106.56,110.75,144.3,125.14,62.16
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
341.8,513.89,372.44,513.89,513.89,229.25,281.61,206.08,315.4,158.98,131.33,121.28
42.35,42.35,42.35,42.35,42.35,42.35,42.35,45.69,58.48,47.64,53.94,47.94
42.35,42.35,42.35,42.35,67.15,42.35,71.71,73.42,77.39,42.35,48.33,47.51
42.35,42.35,42.35,56.95,90.71,51.76,49.28,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,62.08,63.48,46.36,69.09,80.26,79.3
58.85,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,82.13,130.91,82.44,74.68,54.57,56.19,46.52,42.35,48.53
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,44.59,50.9,42.35,46.64,42.35,81.43
42.35,42.35,42.35,42.35,119.84,143.6,101.3,109.99,71.61,54.89,73.5,101.08
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,87.4,100.86,93.53,78.32,103.79,125.29,158.92
102.02,78.17,97.28,75.56,42.35,77.29,53.79,79.91,96.74,139.77,211.53,187.18
